EXPRESSION;FITNESS;TIME (Milliseconds);
BCAS4 = seq1326_WDR7(t - 1);1,6;3051
SNTB2 = seq1005_SNTB2(t - 1);1,42;2088
FSCN1 = (log ((((seq489_NLRX1(t - 1) + seq120_MIZF(t - 1)) * (seq480_ARD1A(t - 1) + seq125_WASPIP(t - 1))) * ((seq880_C1orf122(t - 1) + seq871_MUT(t - 1)) - (log ((log seq1059_LRRN3(t - 1)) - (cosine seq711_VWCE(t - 1)))))) + ((seq489_NLRX1(t - 1) + seq120_MIZF(t - 1)) * (seq480_ARD1A(t - 1) + seq125_WASPIP(t - 1))))) + (log (cosine (log (((log seq1059_LRRN3(t - 1)) - (cosine seq711_VWCE(t - 1))) - ((cosine seq354_GNG5(t - 1)) * (seq245_TELO2(t - 1) / seq700_RNF31(t - 1)))))));1,43;2481
TMEM138 = seq100_TMEM138(t - 1);1,55;2097
FAM20B = seq977_RUNX1(t - 1);1,51;2149
C9orf119 = (cosine (sine (log (cosine ((log seq637_CD28(t - 1)) - (log seq140_OMA1(t - 1))))))) * seq956_XPR1(t - 1);1,27;2173
TRIM25 = log (((seq640_FLJ39827(t - 1) + seq975_TNFSF10(t - 1)) + (seq300_NSMCE2(t - 1) * seq224_CCDC106(t - 1))) * ((((seq139_IQWD1(t - 1) * seq702_MLLT11(t - 1)) - (seq690_GNG10(t - 1) / seq662_ARL8B(t - 1))) - (seq690_GNG10(t - 1) / seq662_ARL8B(t - 1))) - (seq690_GNG10(t - 1) / seq662_ARL8B(t - 1))));2,95;2112
LRRN3 = (log (((((seq145_GMCL1(t - 1) * ((log (((seq145_GMCL1(t - 1) * seq127_GVIN1(t - 1)) + ((log (((seq145_GMCL1(t - 1) * seq127_GVIN1(t - 1)) + ((log (seq390_LIG1(t - 1) * seq605_IKZF4(t - 1))) + (sine (seq58_KLRG1(t - 1) - seq828_RIPK5(t - 1))))) + (cosine (cosine seq952_ARL6IP6(t - 1))))) + (((log ((seq145_GMCL1(t - 1) * seq127_GVIN1(t - 1)) * seq605_IKZF4(t - 1))) + (sine (seq58_KLRG1(t - 1) - seq828_RIPK5(t - 1)))) - (cosine ((cosine seq952_ARL6IP6(t - 1)) + (cosine seq952_ARL6IP6(t - 1))))))) + (cosine seq952_ARL6IP6(t - 1)))) + (((log (seq390_LIG1(t - 1) * seq605_IKZF4(t - 1))) + (sine (seq58_KLRG1(t - 1) - seq828_RIPK5(t - 1)))) - (cosine ((sine seq245_TELO2(t - 1)) + (cosine seq952_ARL6IP6(t - 1))))))) + (((log (seq390_LIG1(t - 1) * seq605_IKZF4(t - 1))) + (sine (seq58_KLRG1(t - 1) - seq828_RIPK5(t - 1)))) + (((log (seq390_LIG1(t - 1) * seq605_IKZF4(t - 1))) + seq58_KLRG1(t - 1)) - (cosine ((sine seq245_TELO2(t - 1)) + (cosine seq952_ARL6IP6(t - 1))))))) + ((log seq322_TGFBRAP1(t - 1)) - (log (((seq145_GMCL1(t - 1) * seq127_GVIN1(t - 1)) + ((log (((seq145_GMCL1(t - 1) * seq127_GVIN1(t - 1)) + (sine seq352_SEC11C(t - 1))) + ((((seq145_GMCL1(t - 1) * seq127_GVIN1(t - 1)) + (sine seq352_SEC11C(t - 1))) + ((log seq322_TGFBRAP1(t - 1)) - (((seq145_GMCL1(t - 1) * seq127_GVIN1(t - 1)) + (sine (seq58_KLRG1(t - 1) - seq828_RIPK5(t - 1)))) + ((log (((log (seq145_GMCL1(t - 1) * seq127_GVIN1(t - 1))) + (sine seq58_KLRG1(t - 1))) - (cosine ((sine (cosine seq952_ARL6IP6(t - 1))) + (log seq812_ARHGAP25(t - 1)))))) - (seq58_KLRG1(t - 1) - seq828_RIPK5(t - 1)))))) - (seq819_CDK7(t - 1) - seq1007_FSCN1(t - 1))))) + (((log (seq390_LIG1(t - 1) * seq605_IKZF4(t - 1))) + (sine (seq58_KLRG1(t - 1) - seq828_RIPK5(t - 1)))) - (cosine ((sine (log (((seq145_GMCL1(t - 1) * seq127_GVIN1(t - 1)) + (sine seq352_SEC11C(t - 1))) + seq58_KLRG1(t - 1)))) + (cosine seq952_ARL6IP6(t - 1))))))) + ((sine seq245_TELO2(t - 1)) - (sine (seq58_KLRG1(t - 1) - seq828_RIPK5(t - 1)))))))) + (sine seq352_SEC11C(t - 1))) + ((log (((seq145_GMCL1(t - 1) * seq127_GVIN1(t - 1)) + ((log (((seq145_GMCL1(t - 1) * seq127_GVIN1(t - 1)) + (sine seq352_SEC11C(t - 1))) + (seq390_LIG1(t - 1) * seq605_IKZF4(t - 1)))) + (((sine (seq58_KLRG1(t - 1) - seq828_RIPK5(t - 1))) + (sine (seq58_KLRG1(t - 1) - seq828_RIPK5(t - 1)))) - (cosine ((sine seq245_TELO2(t - 1)) + ((sine seq352_SEC11C(t - 1)) + (sine (sine seq352_SEC11C(t - 1))))))))) + ((seq819_CDK7(t - 1) - seq1007_FSCN1(t - 1)) - (seq819_CDK7(t - 1) - seq1007_FSCN1(t - 1))))) - (seq819_CDK7(t - 1) - seq1007_FSCN1(t - 1))))) + (((log (seq390_LIG1(t - 1) * seq605_IKZF4(t - 1))) + (sine (seq58_KLRG1(t - 1) - seq828_RIPK5(t - 1)))) - (cosine (seq58_KLRG1(t - 1) - seq828_RIPK5(t - 1))));1,82;2487
TRPV2 = seq1111_KIFAP3(t - 1);1,81;2133
YIPF1 = seq1062_YIPF1(t - 1);1,22;2052
